/home/runner/work/-earnings-calls-pipeline/-earnings-calls-pipeline/scripts/capture.py:115: SyntaxWarning: invalid escape sequence '\/'
  join = page.evaluate('''() => { const a=[...document.querySelectorAll('a')].find(x=>/zoom.us\/(w|wc)\//.test(x.href)); return a?a.href:null }''')
19
[watchdog] 21:32:45Z mean_volume=-27.2 som=True fala_real=True apos_inicio=True
[watchdog] 21:33:23Z mean_volume=-29.1 som=True fala_real=True apos_inicio=True
[watchdog] 21:34:01Z mean_volume=-26.0 som=True fala_real=True apos_inicio=True
[watchdog] 21:34:40Z mean_volume=-29.9 som=True fala_real=True apos_inicio=True
[watchdog] 21:35:18Z mean_volume=-28.7 som=True fala_real=True apos_inicio=True
[watchdog] 21:35:56Z mean_volume=-27.8 som=True fala_real=True apos_inicio=True
[watchdog] 21:36:34Z mean_volume=-28.8 som=True fala_real=True apos_inicio=True
[watchdog] 21:37:13Z mean_volume=-26.2 som=True fala_real=True apos_inicio=True
[watchdog] 21:37:51Z mean_volume=-35.3 som=True fala_real=False apos_inicio=True
error: cannot pull with rebase: You have unstaged changes.
error: Please commit or stash them.
[watchdog] 21:38:31Z mean_volume=-18.3 som=True fala_real=True apos_inicio=True
[watchdog] 21:39:09Z mean_volume=-26.0 som=True fala_real=True apos_inicio=True
[watchdog] 21:39:47Z mean_volume=-27.5 som=True fala_real=True apos_inicio=True
[watchdog] 21:40:25Z mean_volume=-28.0 som=True fala_real=True apos_inicio=True
[watchdog] 21:41:04Z mean_volume=-32.7 som=True fala_real=True apos_inicio=True
[watchdog] 21:41:42Z mean_volume=-28.9 som=True fala_real=True apos_inicio=True
[watchdog] 21:42:20Z mean_volume=-28.0 som=True fala_real=True apos_inicio=True
[watchdog] 21:42:58Z mean_volume=-28.8 som=True fala_real=True apos_inicio=True
[watchdog] 21:43:37Z mean_volume=-28.9 som=True fala_real=True apos_inicio=True
[watchdog] 21:44:15Z mean_volume=-29.5 som=True fala_real=True apos_inicio=True
[watchdog] 21:44:53Z mean_volume=-27.8 som=True fala_real=True apos_inicio=True
[watchdog] 21:45:31Z mean_volume=-25.6 som=True fala_real=True apos_inicio=True
[watchdog] 21:46:10Z mean_volume=-27.6 som=True fala_real=True apos_inicio=True
[watchdog] 21:46:48Z mean_volume=-91.0 som=False fala_real=False apos_inicio=True
error: cannot pull with rebase: You have unstaged changes.
error: Please commit or stash them.
[watchdog] 21:47:27Z mean_volume=-91.0 som=False fala_real=False apos_inicio=True
[watchdog] 21:48:05Z mean_volume=-91.0 som=False fala_real=False apos_inicio=True
[watchdog] 21:48:44Z mean_volume=-91.0 som=False fala_real=False apos_inicio=True
[watchdog] 21:49:22Z mean_volume=-91.0 som=False fala_real=False apos_inicio=True
[watchdog] 21:50:00Z mean_volume=-91.0 som=False fala_real=False apos_inicio=True
gravando via PulseAudio (áudio da aba)
[capture] confirmacao CONECTADO commitada
[capture] webcast sem audio — recarregando p/ pegar o player ao vivo
[capture] webcast sem audio — recarregando p/ pegar o player ao vivo
[capture] webcast sem audio — recarregando p/ pegar o player ao vivo
captura encerrada
